source_file,source_column,staging_entity,proposed_canonical,notes
260312_顧客_太陽光.csv,メーカー,deal,,
260312_顧客_太陽光.csv,モジュール,deal,,
260312_顧客_太陽光.csv,リース料金,deal,,
260312_顧客_太陽光.csv,確認完了日,deal,,
260312_顧客_太陽光.csv,完工報告,deal,,
260312_顧客_太陽光.csv,業者現地調査日,deal,,
260312_顧客_太陽光.csv,契約者,deal,,
260312_顧客_太陽光.csv,契約者との続柄,deal,,
260312_顧客_太陽光.csv,計上粗利,deal,,
260312_顧客_太陽光.csv,月額,deal,,
260312_顧客_太陽光.csv,見積依頼日,deal,,
260312_顧客_太陽光.csv,見積到着日,deal,,
260312_顧客_太陽光.csv,工事完了日,deal,,
260312_顧客_太陽光.csv,工事希望,deal,,
260312_顧客_太陽光.csv,工事希望1,deal,,
260312_顧客_太陽光.csv,工事日,deal,,
260312_顧客_太陽光.csv,災害補償申請,deal,,
260312_顧客_太陽光.csv,災害補償申請到着,deal,,
260312_顧客_太陽光.csv,使用者との続柄,deal,,
260312_顧客_太陽光.csv,施工管理,deal,,
260312_顧客_太陽光.csv,借受証発送,deal,,
260312_顧客_太陽光.csv,受注日,deal,,
260312_顧客_太陽光.csv,商流,deal,,
260312_顧客_太陽光.csv,承諾書発送,deal,,
260312_顧客_太陽光.csv,信販会社,deal,,
260312_顧客_太陽光.csv,審査依頼日,deal,,
260312_顧客_太陽光.csv,審査結果,deal,,
260312_顧客_太陽光.csv,審査結果日,deal,,
260312_顧客_太陽光.csv,審査信販,deal,,
260312_顧客_太陽光.csv,申込者,deal,,
260312_顧客_太陽光.csv,申込書発送日,deal,,
260312_顧客_太陽光.csv,成績計上月,deal,,
260312_顧客_太陽光.csv,成績計上日,deal,,
260312_顧客_太陽光.csv,請求書発行日,deal,,
260312_顧客_太陽光.csv,請求書発行日②,deal,,
260312_顧客_太陽光.csv,設置FAX番号,deal,,
260312_顧客_太陽光.csv,設置kw,deal,,
260312_顧客_太陽光.csv,設置住所,deal,,
260312_顧客_太陽光.csv,設置店名,deal,,
260312_顧客_太陽光.csv,設置電話番号,deal,,
260312_顧客_太陽光.csv,築年数,deal,,
260312_顧客_太陽光.csv,注意事項,deal,,
260312_顧客_太陽光.csv,追加工事,deal,,
260312_顧客_太陽光.csv,伝票番号,deal,,
260312_顧客_太陽光.csv,電番【検索用】,deal,,
260312_顧客_太陽光.csv,電力申請依頼日,deal,,
260312_顧客_太陽光.csv,電力申請許可日,deal,,
260312_顧客_太陽光.csv,入金日,deal,,
260312_顧客_太陽光.csv,入金日②,deal,,
260312_顧客_太陽光.csv,納入日,deal,,
260312_顧客_太陽光.csv,発注日,deal,,
260312_顧客_太陽光.csv,販売店,deal,,
260312_顧客_太陽光.csv,備考,deal,,
260312_顧客_太陽光.csv,必要書類,deal,,
260312_顧客_太陽光.csv,必要書類　着日,deal,,
260312_顧客_太陽光.csv,部材,deal,,
260312_顧客_太陽光.csv,部材原価【計上】,deal,,
260312_顧客_太陽光.csv,部材数,deal,,
260312_顧客_太陽光.csv,部材単価【計上】,deal,,
260312_顧客_太陽光.csv,部材名,deal,,
260312_顧客_太陽光.csv,平面図到着,deal,,
260312_顧客_太陽光.csv,保証書着,deal,,
260312_顧客_太陽光.csv,保証申請,deal,,
260312_顧客_太陽光.csv,報告書到着日,deal,,
260312_顧客_太陽光.csv,枚数,deal,,
260312_顧客_太陽光.csv,郵送日,deal,,
260312_顧客_太陽光.csv,連系日,deal,,
260312_顧客_太陽光.csv,ｱﾎﾟ担当,activity,,
260312_顧客_太陽光.csv,ドローン現調日,activity,,
260312_顧客_太陽光.csv,営業コメント,activity,,
260312_顧客_太陽光.csv,営業担当,activity,,
260312_顧客_太陽光.csv,回数,activity,,
260312_顧客_太陽光.csv,再訪日,activity,,
260312_顧客_太陽光.csv,訪問担当者,activity,,
260312_顧客_太陽光.csv,作成時刻,meta,,
260312_顧客_太陽光.csv,作成者,meta,,
260312_顧客_太陽光.csv,作成日,meta,,
260312_顧客_太陽光.csv,修正時刻,meta,,
260312_顧客_太陽光.csv,修正者,meta,,
260312_顧客_太陽光.csv,修正日,meta,,
260312_顧客_太陽光.csv,書類データ,meta,,
260312_顧客_太陽光.csv,本日,meta,,
260312_コール履歴_太陽光.xlsx,日付,activity_call,,
260312_コール履歴_太陽光.xlsx,時刻,activity_call,,
260312_コール履歴_太陽光.xlsx,担当者,activity_call,,
260312_コール履歴_太陽光.xlsx,電話番号【検索】,activity_call,,
260312_コール履歴_太陽光.xlsx,内容,activity_call,,
260312_コール履歴_太陽光.xlsx,日時,activity_call,,
260312_コール履歴_太陽光.xlsx,お客様担当,activity_call,,
